pair_id,commission_a_bps,commission_h_bps,stamp_duty_a_bps,stamp_duty_h_bps,slippage_bps,commission_a_buy_bps,commission_a_sell_bps,commission_h_buy_bps,commission_h_sell_bps,stamp_duty_a_buy_bps,stamp_duty_a_sell_bps,stamp_duty_h_buy_bps,stamp_duty_h_sell_bps,slippage_a_buy_bps,slippage_a_sell_bps,slippage_h_buy_bps,slippage_h_sell_bps,borrow_bps,commission_total_bps,stamp_total_bps,slippage_total_bps,total_cost_level_bps,net_cagr,net_sharpe,max_dd,breakeven_total_cost,breakeven_slippage,worst_case_net_dd,breakeven_cost_level
600036.SS-3968.HK,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,-0.06182372749497733,-0.22780620883763747,-0.2855722528109147,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,-0.06182372749497733,-0.22780620883763747,-0.2855722528109147,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,20.0,20.0,-0.06182372749497733,-0.22780620883763747,-0.2855722528109147,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,2.0,8.0,0.0,0.0,0.0,2.0,2.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,-0.06182372749497733,-0.22780620883763747,-0.2855722528109147,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,4.0,6.0,0.0,0.0,0.0,4.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,-0.06182372749497733,-0.22780620883763747,-0.2855722528109147,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,6.0,4.0,0.0,0.0,0.0,6.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,-0.06182372749497733,-0.22780620883763747,-0.2855722528109147,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,8.0,2.0,0.0,0.0,0.0,8.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,-0.06182372749497733,-0.22780620883763747,-0.2855722528109147,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,-0.06182372749497733,-0.22780620883763747,-0.2855722528109147,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,0.0,6.0,0.0,5.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,22.0,-0.06195789778694938,-0.2285605974455739,-0.28564376709992256,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,0.0,6.0,5.0,0.0,0.0,0.0,0.0,6.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,22.0,-0.06195789778694938,-0.2285605974455739,-0.28564376709992256,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,2.0,4.0,0.0,5.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,22.0,-0.06195789778694938,-0.2285605974455739,-0.28564376709992256,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,2.0,4.0,5.0,0.0,0.0,2.0,2.0,4.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,22.0,-0.06195789778694938,-0.2285605974455739,-0.28564376709992256,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,4.0,2.0,0.0,5.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,22.0,-0.06195789778694938,-0.2285605974455739,-0.28564376709992256,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,4.0,2.0,5.0,0.0,0.0,4.0,4.0,2.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,22.0,-0.06195789778694938,-0.2285605974455739,-0.28564376709992256,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,6.0,0.0,0.0,5.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,22.0,-0.06195789778694938,-0.2285605974455739,-0.28564376709992256,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,6.0,0.0,5.0,0.0,0.0,6.0,6.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,22.0,-0.06195789778694938,-0.2285605974455739,-0.28564376709992256,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,0.0,2.0,0.0,10.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,24.0,-0.062092062120294944,-0.2293149875990686,-0.28571528138893054,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,0.0,2.0,5.0,5.0,0.0,0.0,0.0,2.0,2.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,24.0,-0.062092062120294944,-0.2293149875990686,-0.28571528138893054,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,0.0,2.0,10.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,24.0,-0.062092062120294944,-0.2293149875990686,-0.28571528138893054,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,4.0,0.0,20.0,24.0,-0.062092062120294944,-0.2293149875990686,-0.28571528138893054,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,2.0,0.0,0.0,10.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,24.0,-0.062092062120294944,-0.2293149875990686,-0.28571528138893054,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,2.0,10.0,0.0,0.0,0.0,2.0,2.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,-0.062092062120294944,-0.2293149875990686,-0.28571528138893054,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,2.0,0.0,5.0,5.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,24.0,-0.062092062120294944,-0.2293149875990686,-0.28571528138893054,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,2.0,0.0,10.0,0.0,0.0,2.0,2.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,24.0,-0.062092062120294944,-0.2293149875990686,-0.28571528138893054,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,2.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,4.0,0.0,20.0,24.0,-0.062092062120294944,-0.2293149875990686,-0.28571528138893054,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,4.0,8.0,0.0,0.0,0.0,4.0,4.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,-0.062092062120294944,-0.2293149875990686,-0.28571528138893054,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,6.0,6.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,-0.062092062120294944,-0.2293149875990686,-0.28571528138893054,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,8.0,4.0,0.0,0.0,0.0,8.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,-0.062092062120294944,-0.2293149875990686,-0.28571528138893054,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,10.0,2.0,0.0,0.0,0.0,10.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,-0.062092062120294944,-0.2293149875990686,-0.28571528138893054,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,0.0,8.0,0.0,5.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,0.0,26.0,-0.062226220494692064,-0.23006937843901284,-0.2857867956779383,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,0.0,8.0,5.0,0.0,0.0,0.0,0.0,8.0,8.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,0.0,26.0,-0.062226220494692064,-0.23006937843901284,-0.2857867956779383,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,2.0,6.0,0.0,5.0,0.0,2.0,2.0,6.0,6.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,0.0,26.0,-0.062226220494692064,-0.23006937843901284,-0.2857867956779383,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,2.0,6.0,5.0,0.0,0.0,2.0,2.0,6.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,0.0,26.0,-0.062226220494692064,-0.23006937843901284,-0.2857867956779383,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,4.0,4.0,0.0,5.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,0.0,26.0,-0.062226220494692064,-0.23006937843901284,-0.2857867956779383,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,4.0,4.0,5.0,0.0,0.0,4.0,4.0,4.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,0.0,26.0,-0.062226220494692064,-0.23006937843901284,-0.2857867956779383,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,6.0,2.0,0.0,5.0,0.0,6.0,6.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,0.0,26.0,-0.062226220494692064,-0.23006937843901284,-0.2857867956779383,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,6.0,2.0,5.0,0.0,0.0,6.0,6.0,2.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,0.0,26.0,-0.062226220494692064,-0.23006937843901284,-0.2857867956779383,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,8.0,0.0,0.0,5.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,0.0,26.0,-0.062226220494692064,-0.23006937843901284,-0.2857867956779383,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,8.0,0.0,5.0,0.0,0.0,8.0,8.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,0.0,26.0,-0.062226220494692064,-0.23006937843901284,-0.2857867956779383,0.0,0.0,-0.2929045492532424,0.0
